code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
6,2013J,626,M,North Region,HE Qualification,,35-55,0,60,N,Pass
7,2013J,392,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,Pass
7,2013J,261,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,Fail
3,2013J,726,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass
8,2013J,726,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,Withdrawn
2,2013J,744,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass
1,2013J,646,M,London Region,A Level or Equivalent,20-Oct,0-35,0,180,N,Pass
8,2013J,492,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,Pass
2,2013J,369,M,London Region,HE Qualification,20-Oct,0-35,0,120,N,Fail
6,2013J,280,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,Pass
2,2013J,665,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Distinction
0,2013J,472,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,Withdrawn
0,2013J,897,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
9,2013J,216,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass
2,2013J,156,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn
6,2013J,691,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass
1,2013J,252,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn
0,2013J,241,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,Pass
4,2013J,493,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,Fail
1,2013J,220,F,London Region,A Level or Equivalent,20-Oct,35-55,0,60,N,Distinction
5,2013J,504,M,Ireland,HE Qualification,,0-35,0,180,N,Fail
2,2013J,454,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass
6,2013J,545,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass
7,2013J,940,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
8,2013J,495,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass
3,2013J,479,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,Pass
1,2013J,373,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,N,Withdrawn
8,2013J,221,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,Pass
5,2013J,642,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass
5,2013J,478,M,London Region,HE Qualification,80-90%,0-35,0,80,N,Pass
7,2013J,936,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
6,2013J,349,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass
4,2013J,960,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,Fail
1,2013J,787,M,London Region,HE Qualification,20-30%,35-55,0,60,N,Pass
3,2013J,930,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
7,2013J,279,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,Pass
2,2013J,288,M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,Pass
8,2013J,659,M,North Western Region,HE Qualification,20-Oct,0-35,0,120,N,Pass
8,2013J,671,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass
2,2013J,491,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass
7,2013J,245,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,Withdrawn
7,2013J,556,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass
9,2013J,964,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
4,2013J,883,M,East Anglian Region,A Level or Equivalent,20-Oct,35-55,0,90,N,Fail
2,2013J,111,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,N,Withdrawn
2,2013J,951,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,Pass
8,2013J,322,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn
2,2013J,407,M,London Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction
7,2013J,519,F,Scotland,A Level or Equivalent,30-40%,0-35,0,150,N,Pass
1,2013J,358,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Fail
6,2013J,500,M,North Western Region,HE Qualification,30-40%,0-35,0,60,N,Fail
4,2013J,999,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
5,2013J,358,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
7,2013J,114,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
1,2013J,592,M,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
6,2013J,573,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass
7,2013J,571,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction
7,2013J,732,F,South East Region,A Level or Equivalent,90-100%,35-55,0,180,N,Withdrawn
5,2013J,714,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass
4,2013J,765,M,South East Region,HE Qualification,90-100%,55<=,0,60,N,Pass
2,2013J,340,M,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass
4,2013J,220,M,South East Region,A Level or Equivalent,40-50%,35-55,0,240,N,Fail
9,2013J,104,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Distinction
5,2013J,229,F,South East Region,HE Qualification,80-90%,0-35,0,60,N,Pass
9,2013J,991,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
6,2013J,506,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail
7,2013J,886,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail
2,2013J,877,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,Y,Pass
3,2013J,237,F,Wales,Lower Than A Level,80-90%,0-35,0,120,N,Withdrawn
3,2013J,922,M,West Midlands Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass
7,2013J,703,M,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
9,2013J,959,F,London Region,A Level or Equivalent,20-Oct,0-35,0,60,N,Pass
4,2013J,367,F,East Midlands Region,HE Qualification,20-Oct,0-35,0,60,N,Pass
5,2013J,636,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass
4,2013J,465,M,South West Region,A Level or Equivalent,60-70%,55<=,0,120,N,Pass
2,2013J,511,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Distinction
5,2013J,192,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass
6,2013J,936,F,East Anglian Region,HE Qualification,80-90%,0-35,0,120,N,Pass
4,2013J,653,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass
9,2013J,228,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass
9,2013J,316,M,East Anglian Region,HE Qualification,40-50%,35-55,0,60,N,Pass
2,2013J,827,F,South West Region,A Level or Equivalent,20-Oct,35-55,0,60,N,Pass
1,2013J,268,M,South East Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
3,2013J,221,F,South Region,HE Qualification,90-100%,35-55,0,60,N,Withdrawn
1,2013J,453,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass
6,2013J,618,M,Scotland,A Level or Equivalent,20-30%,0-35,0,120,N,Pass
8,2013J,773,M,Scotland,HE Qualification,80-90%,0-35,0,60,N,Pass
5,2013J,788,F,London Region,A Level or Equivalent,50-60%,0-35,0,150,N,Fail
4,2013J,949,F,South West Region,A Level or Equivalent,0-10%,0-35,0,240,Y,Withdrawn
6,2013J,181,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn
9,2013J,601,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
3,2013J,185,M,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass
4,2013J,930,M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,180,N,Fail
2,2013J,239,F,West Midlands Region,HE Qualification,70-80%,0-35,0,60,N,Withdrawn
6,2013J,768,M,Scotland,Lower Than A Level,50-60%,55<=,0,60,N,Pass
6,2013J,226,M,Yorkshire Region,HE Qualification,0-10%,0-35,0,60,N,Pass
7,2013J,668,M,Ireland,HE Qualification,70-80%,35-55,0,120,N,Pass
6,2013J,747,M,Yorkshire Region,A Level or Equivalent,20-Oct,0-35,0,60,N,Fail
8,2013J,251,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,180,Y,Pass
5,2013J,951,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,60,N,Distinction
0,2013J,576,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass
9,2013J,444,F,Scotland,HE Qualification,50-60%,35-55,0,120,N,Fail
9,2013J,545,M,North Western Region,HE Qualification,80-90%,35-55,0,60,N,Pass
7,2013J,643,M,South Region,HE Qualification,90-100%,35-55,0,120,N,Withdrawn
4,2013J,776,M,Yorkshire Region,A Level or Equivalent,20-Oct,0-35,0,60,N,Fail
0,2013J,902,M,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Fail
4,2013J,515,F,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass
7,2013J,989,M,East Anglian Region,Lower Than A Level,20-Oct,35-55,0,60,N,Pass
9,2013J,229,M,South West Region,HE Qualification,40-50%,0-35,0,60,N,Pass
0,2013J,677,F,South West Region,A Level or Equivalent,50-60%,0-35,0,120,Y,Pass
3,2013J,506,M,Wales,HE Qualification,50-60%,35-55,0,120,N,Fail
3,2013J,489,M,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,180,N,Pass
5,2013J,949,M,North Region,HE Qualification,,0-35,0,60,N,Distinction
1,2013J,835,F,South Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass
0,2013J,138,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass
9,2013J,141,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
2,2013J,285,M,Ireland,Lower Than A Level,,0-35,0,120,N,Pass
0,2013J,976,M,Yorkshire Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass
5,2013J,473,F,London Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass
9,2013J,767,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
4,2013J,460,M,Scotland,A Level or Equivalent,0-10%,0-35,0,90,N,Withdrawn
3,2013J,553,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Fail
8,2013J,522,F,North Western Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass
6,2013J,602,M,North Western Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass
9,2013J,770,M,Yorkshire Region,HE Qualification,50-60%,0-35,0,180,N,Pass
4,2013J,750,M,Yorkshire Region,Lower Than A Level,90-100%,0-35,0,240,N,Fail
6,2013J,318,F,South East Region,Lower Than A Level,80-90%,0-35,0,60,N,Pass
4,2013J,414,M,South West Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass
5,2013J,474,M,Wales,Lower Than A Level,20-30%,35-55,0,120,N,Pass
7,2013J,657,M,North Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass
6,2013J,596,M,Scotland,A Level or Equivalent,90-100%,0-35,0,240,Y,Withdrawn
4,2013J,100,M,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass
6,2013J,956,M,West Midlands Region,HE Qualification,0-10%,35-55,0,90,N,Withdrawn
8,2013J,825,M,Scotland,A Level or Equivalent,40-50%,0-35,0,60,Y,Fail
1,2013J,929,F,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass
4,2013J,747,F,South East Region,A Level or Equivalent,70-80%,0-35,0,150,N,Pass
8,2013J,455,M,London Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass
8,2013J,343,M,South West Region,HE Qualification,80-90%,0-35,0,120,N,Withdrawn
2,2013J,750,M,London Region,HE Qualification,30-40%,0-35,0,60,N,Distinction
5,2013J,587,M,South East Region,HE Qualification,90-100%,35-55,0,60,N,Withdrawn
9,2013J,685,F,South West Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
9,2013J,758,F,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,Fail
4,2013J,191,M,South East Region,HE Qualification,80-90%,0-35,0,120,N,Pass
1,2013J,643,M,North Western Region,HE Qualification,80-90%,35-55,0,60,N,Pass
9,2013J,465,M,London Region,A Level or Equivalent,40-50%,0-35,0,120,N,Pass
9,2013J,286,M,South East Region,HE Qualification,90-100%,0-35,0,120,N,Pass
7,2013J,678,M,North Western Region,HE Qualification,40-50%,0-35,0,120,N,Pass
5,2013J,904,M,South East Region,HE Qualification,60-70%,0-35,0,60,N,Pass
4,2013J,615,M,West Midlands Region,HE Qualification,80-90%,0-35,0,120,N,Fail
1,2013J,918,F,Scotland,HE Qualification,30-40%,0-35,0,60,N,Withdrawn
2,2013J,994,M,West Midlands Region,HE Qualification,70-80%,0-35,0,120,N,Pass
0,2013J,947,M,Ireland,HE Qualification,90-100%,0-35,0,120,N,Pass
0,2013J,965,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,120,N,Fail
2,2013J,814,M,South West Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
1,2013J,141,M,South Region,Post Graduate Qualification,90-100%,35-55,0,60,N,Pass
4,2013J,360,M,North Region,HE Qualification,,55<=,0,60,N,Withdrawn
5,2013J,403,M,Scotland,Post Graduate Qualification,90-100%,35-55,0,60,N,Fail
1,2013J,621,M,South Region,HE Qualification,90-100%,55<=,0,120,N,Pass
2,2013J,317,M,West Midlands Region,A Level or Equivalent,60-70%,55<=,0,120,N,Distinction
6,2013J,921,F,South Region,Lower Than A Level,50-60%,55<=,0,120,N,Withdrawn
9,2013J,825,M,South Region,Lower Than A Level,70-80%,55<=,0,60,N,Pass
2,2013J,215,M,West Midlands Region,A Level or Equivalent,60-70%,55<=,0,60,N,Distinction
3,2013J,127,F,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
3,2013J,386,F,South West Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass
3,2013J,708,M,North Western Region,HE Qualification,40-50%,35-55,0,60,N,Pass
1,2013J,150,F,East Anglian Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
9,2013J,385,M,South West Region,A Level or Equivalent,80-90%,35-55,0,180,N,Withdrawn
1,2013J,117,F,West Midlands Region,HE Qualification,90-100%,35-55,0,60,N,Pass
0,2013J,158,M,South Region,HE Qualification,90-100%,35-55,0,60,N,Pass
8,2013J,518,F,London Region,Lower Than A Level,30-40%,35-55,0,60,N,Pass
8,2013J,545,M,Scotland,HE Qualification,80-90%,55<=,0,60,N,Pass
7,2013J,111,M,Yorkshire Region,A Level or Equivalent,20-30%,35-55,0,60,N,Withdrawn
8,2013J,146,M,West Midlands Region,A Level or Equivalent,70-80%,35-55,0,60,N,Fail
8,2013J,240,F,East Midlands Region,HE Qualification,30-40%,35-55,0,60,N,Pass
5,2013J,467,F,Yorkshire Region,A Level or Equivalent,20-Oct,35-55,0,120,N,Fail
8,2013J,370,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Withdrawn
1,2013J,489,M,West Midlands Region,HE Qualification,40-50%,35-55,0,120,N,Pass
1,2013J,588,F,East Anglian Region,Lower Than A Level,40-50%,35-55,0,60,Y,Fail
0,2013J,208,M,London Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass
7,2013J,969,F,South East Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass
5,2013J,823,M,London Region,Lower Than A Level,90-100%,35-55,0,60,N,Pass
9,2013J,281,M,South Region,HE Qualification,90-100%,35-55,0,60,N,Fail
3,2013J,760,M,North Western Region,A Level or Equivalent,60-70%,35-55,0,60,N,Distinction
1,2013J,848,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
9,2013J,517,F,North Western Region,Lower Than A Level,50-60%,35-55,0,60,N,Withdrawn
8,2013J,741,F,Scotland,HE Qualification,40-50%,35-55,0,60,N,Pass
2,2013J,199,M,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass
1,2013J,263,M,South Region,Lower Than A Level,30-40%,35-55,0,75,N,Withdrawn
3,2013J,638,F,Scotland,A Level or Equivalent,20-Oct,35-55,0,60,N,Withdrawn
7,2013J,214,M,South East Region,HE Qualification,70-80%,55<=,0,60,N,Pass
3,2013J,486,M,Ireland,HE Qualification,,35-55,0,60,N,Pass
3,2013J,418,M,Scotland,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
9,2013J,288,M,South West Region,Lower Than A Level,40-50%,35-55,0,60,N,Pass
6,2013J,754,M,South West Region,Lower Than A Level,40-50%,35-55,0,300,Y,Pass
7,2013J,977,M,Yorkshire Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass
1,2013J,262,F,South Region,A Level or Equivalent,70-80%,35-55,0,60,Y,Pass
8,2013J,932,F,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass
0,2013J,269,M,South Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
3,2013J,128,F,East Anglian Region,Lower Than A Level,40-50%,35-55,0,120,Y,Pass
0,2013J,935,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,N,Withdrawn
6,2013J,125,M,Ireland,Lower Than A Level,50-60%,35-55,0,120,N,Pass
7,2013J,327,F,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,60,Y,Pass
9,2013J,977,M,North Western Region,Lower Than A Level,30-40%,35-55,0,60,N,Pass
8,2013J,638,F,South West Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass
9,2013J,598,F,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,60,N,Fail
7,2013J,524,M,London Region,A Level or Equivalent,30-40%,35-55,0,330,Y,Withdrawn
8,2013J,259,F,London Region,Lower Than A Level,30-40%,35-55,0,60,N,Withdrawn
1,2013J,299,F,South Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
6,2013J,617,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass
7,2013J,433,F,South West Region,Lower Than A Level,50-60%,35-55,0,60,N,Fail
2,2013J,346,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,N,Pass
7,2013J,762,F,North Western Region,Lower Than A Level,80-90%,35-55,0,60,N,Distinction
9,2013J,292,M,London Region,A Level or Equivalent,50-60%,35-55,0,120,N,Withdrawn
3,2013J,580,F,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass
5,2013J,624,M,North Western Region,HE Qualification,20-30%,55<=,0,60,N,Pass
2,2013J,759,M,Scotland,A Level or Equivalent,70-80%,35-55,0,60,Y,Withdrawn
7,2013J,133,F,Yorkshire Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass
5,2013J,530,F,West Midlands Region,Lower Than A Level,80-90%,0-35,0,60,Y,Pass
4,2013J,553,F,North Western Region,A Level or Equivalent,40-50%,0-35,0,120,N,Fail
8,2013J,635,F,Yorkshire Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
4,2013J,679,F,London Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass
9,2013J,560,F,East Anglian Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass
9,2013J,227,F,North Western Region,HE Qualification,30-40%,35-55,0,60,N,Pass
0,2013J,763,M,Scotland,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
3,2013J,761,F,West Midlands Region,A Level or Equivalent,20-Oct,35-55,0,60,N,Pass
4,2013J,921,F,South Region,A Level or Equivalent,80-90%,35-55,0,120,N,Withdrawn
7,2013J,332,F,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
5,2013J,860,M,South Region,Lower Than A Level,30-40%,35-55,0,60,N,Pass
3,2013J,645,M,South Region,A Level or Equivalent,90-100%,0-35,0,150,N,Pass
7,2013J,966,F,East Midlands Region,HE Qualification,20-30%,35-55,0,60,N,Withdrawn
8,2013J,561,M,Wales,A Level or Equivalent,90-100%,35-55,0,60,N,Withdrawn
5,2013J,500,F,Scotland,HE Qualification,90-100%,35-55,0,60,N,Withdrawn
3,2013J,252,F,East Anglian Region,Lower Than A Level,40-50%,35-55,0,120,N,Pass
1,2013J,129,F,London Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction
1,2013J,425,M,Yorkshire Region,Lower Than A Level,20-30%,35-55,0,60,N,Fail
4,2013J,107,F,Yorkshire Region,A Level or Equivalent,60-70%,0-35,0,60,N,Fail
9,2013J,979,F,North Region,HE Qualification,,0-35,0,60,N,Fail
7,2013J,533,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,180,N,Withdrawn
5,2013J,968,F,Scotland,HE Qualification,90-100%,0-35,0,60,Y,Pass
8,2013J,894,M,South East Region,HE Qualification,20-30%,0-35,0,300,N,Withdrawn
9,2013J,601,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,120,N,Pass
3,2013J,119,F,London Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass
8,2013J,700,F,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass
